NWT Number,Loss,Mass Balance,Seconds Elapased,# of Iterations,Min Loss
1449,793.7783738686272,-0.01,793.699,3.0,494.07046337851904
1450,5289.006190616428,-0.06,5270.0,3.0,494.07046337851904
1451,539.283,0.0,539.283,3.0,494.07046337851904
1452,659.673,0.0,659.673,3.0,494.07046337851904
1453,1223.1451602255231,0.02,1222.656,4.0,494.07046337851904
1454,725.6140541958783,-0.04,724.454,4.0,494.07046337851904
1455,858.072,0.0,858.072,4.0,494.07046337851904
1456,3473.2673233873998,0.05,3464.595,2.0,494.07046337851904
1457,746.1807067997345,0.19,719.724,1.0,494.07046337851904
1458,1830.8670450115728,0.04,1827.94,3.0,494.07046337851904
1459,722.891309495377,-0.03,722.241,3.0,494.07046337851904
1460,622.3108645819642,-0.07,619.269,4.0,494.07046337851904
1461,562.0567777525536,0.02,561.832,3.0,494.07046337851904
1462,939.5836988228949,-0.07,934.991,4.0,494.07046337851904
1463,650.4119991531087,0.05,648.788,3.0,494.07046337851904
1464,667.0013488515934,0.04,665.935,3.0,494.07046337851904
1465,847.461,-0.0,847.461,3.0,494.07046337851904
1466,519.9589419856246,-0.02,519.751,3.0,494.07046337851904
1467,1103.436933764973,-0.17,1072.004,2.0,494.07046337851904
1468,3339.876536638681,0.03,3336.872,2.0,494.07046337851904
1469,921.1450976031275,-0.17,894.905,2.0,494.07046337851904
1470,2145.2960526534634,-0.08,2131.61,3.0,494.07046337851904
1471,4800.625898338355,-0.08,4770.0,255.0,494.07046337851904
1472,673.9013867692823,-0.01,673.834,3.0,494.07046337851904
1473,687.1637638111371,-0.05,685.448,3.0,494.07046337851904
1474,571.7380494445583,0.04,570.824,4.0,494.07046337851904
1475,692.947,-0.0,692.947,3.0,494.07046337851904
1476,733.4067691515837,-0.03,732.747,3.0,494.07046337851904
1477,678.5164401181811,0.14,665.347,3.0,494.07046337851904
1478,1506.222,-0.0,1506.222,3.0,494.07046337851904
1479,958.9243166487712,0.05,956.53,2.0,494.07046337851904
1480,2847.8650698656693,-0.16,2775.885,2.0,494.07046337851904
1481,11804.306323188797,-0.08,11729.0,3.0,494.07046337851904
1482,1173.6357592999598,-0.16,1143.972,2.0,494.07046337851904
1483,3985.0954744517016,0.48,3165.026,3.0,494.07046337851904
1484,1616.0764923635159,-0.16,1575.23,1.0,494.07046337851904
1485,755.2158892696857,-0.06,752.502,3.0,494.07046337851904
1486,589.1632725103623,0.1,583.301,2.0,494.07046337851904
1487,594.3922672110451,0.04,593.442,3.0,494.07046337851904
1488,588.493565129041,-0.07,585.617,3.0,494.07046337851904
1489,999999999999.0,999999.0,21000.0,-1.0,494.07046337851904
1490,649.2726571279636,0.02,649.013,3.0,494.07046337851904
1491,863.4810292895155,-0.12,851.136,3.0,494.07046337851904
1492,12808.647260592652,-0.13,12594.0,2.0,494.07046337851904
1493,4184.764593813105,0.03,4181.0,3.0,494.07046337851904
1494,728.6280612346937,-0.12,718.211,4.0,494.07046337851904
1495,1197.574,0.0,1197.574,2.0,494.07046337851904
1496,630.4660434521201,0.01,630.403,3.0,494.07046337851904
1497,6188.251206713947,0.86,2953.682,3.0,494.07046337851904
1498,725.9910980500383,0.03,725.338,3.0,494.07046337851904
1499,670.3145070866203,-0.07,667.038,4.0,494.07046337851904
1500,566.2725055737338,-0.1,560.638,2.0,494.07046337851904
1501,557.1902358201734,-0.05,555.799,3.0,494.07046337851904
1502,756.1171993437913,0.03,755.437,3.0,494.07046337851904
1503,1420.0008867697823,-0.02,1419.433,3.0,494.07046337851904
1504,899.033,0.0,899.033,6.0,494.07046337851904
1505,5981.562848238516,-0.04,5972.0,2.0,494.07046337851904
1506,3136.4232647420836,-0.04,3131.409,3.0,494.07046337851904
1507,947.2687221360279,0.01,947.174,4.0,494.07046337851904
1508,655.922,0.0,655.922,3.0,494.07046337851904
1509,1578.9313989836658,-0.03,1577.511,3.0,494.07046337851904
1510,19961.453713408104,1.05,6628.0,3.0,494.07046337851904
1511,641.845,0.0,641.845,3.0,494.07046337851904
1512,4625.508727204,-0.08,4596.0,2.0,494.07046337851904
